No.,Time,Source,Destination,Protocol,Length,Info,SourcePort,DestinationPort
30823,253.918606,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30824,253.918951,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30825,253.919982,192.168.1.41,117.219.237.13,QUIC,79,"Protected Payload (KP0), DCID=38a5b80915290a93",61402,443
30826,253.925201,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30827,253.925844,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30828,253.927272,192.168.1.41,117.219.237.13,QUIC,79,"Protected Payload (KP0), DCID=38a5b80915290a93",61402,443
30829,253.934097,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30830,253.934715,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30831,253.935405,192.168.1.41,117.219.237.13,QUIC,77,"Protected Payload (KP0), DCID=38a5b80915290a93",61402,443
30832,253.935669,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30833,253.937284,192.168.1.41,117.219.237.13,QUIC,77,"Protected Payload (KP0), DCID=38a5b80915290a93",61402,443
30834,253.937779,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30835,253.938341,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30836,253.938948,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30837,253.939143,192.168.1.41,117.219.237.13,QUIC,76,"Protected Payload (KP0), DCID=38a5b80915290a93",61402,443
30838,253.939563,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30839,253.940119,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30840,253.940231,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30841,253.941168,192.168.1.41,117.219.237.13,QUIC,75,"Protected Payload (KP0), DCID=38a5b80915290a93",61402,443
30842,253.956442,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30843,253.959517,192.168.1.41,117.219.237.13,QUIC,75,"Protected Payload (KP0), DCID=38a5b80915290a93",61402,443
30844,253.95958,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30845,253.9616,192.168.1.41,117.219.237.13,QUIC,75,"Protected Payload (KP0), DCID=38a5b80915290a93",61402,443
30846,253.96409,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30847,253.965589,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30848,253.965764,192.168.1.41,117.219.237.13,QUIC,75,"Protected Payload (KP0), DCID=38a5b80915290a93",61402,443
30849,253.966474,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30850,253.966891,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30851,253.967439,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30852,253.967804,192.168.1.41,117.219.237.13,QUIC,75,"Protected Payload (KP0), DCID=38a5b80915290a93",61402,443
30853,253.967965,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30854,253.969744,192.168.1.41,117.219.237.13,QUIC,75,"Protected Payload (KP0), DCID=38a5b80915290a93",61402,443
